Epoch,Generator Loss,Discriminator Loss
0,-0.4690365195274353,0.13359779119491577
1,-0.8847581744194031,-0.1021013855934143
2,-0.9184126853942871,-0.10645884275436401
3,-1.0298770666122437,0.009818315505981445
4,-1.101491928100586,0.13127338886260986
5,-1.1839547157287598,-0.08831548690795898
6,-1.318603277206421,0.030102849006652832
7,-1.2515227794647217,-0.07444655895233154
8,-1.2255871295928955,0.02079188823699951
9,-1.162497639656067,-0.09892737865447998
10,-0.9808592796325684,-0.15795469284057617
11,-0.8654560446739197,-0.13272619247436523
12,-0.7884842753410339,-0.2181066870689392
13,-0.6579602956771851,-0.05497097969055176
14,-0.14892250299453735,-0.3407009541988373
15,-0.2000279575586319,-0.28790730237960815
16,-0.3948420584201813,-0.21549981832504272
17,-0.05318503454327583,-0.42630746960639954
18,-0.09960413724184036,-0.16591081023216248
19,-0.30446216464042664,-0.3599974811077118
20,-0.18330112099647522,-0.39246708154678345
21,-0.15341056883335114,-0.3561505377292633
22,-0.26776033639907837,-0.1738530695438385
23,-0.25390976667404175,-0.16932722926139832
24,-0.3804283142089844,-0.06286786496639252
25,-0.17316514253616333,-0.0687902569770813
26,-0.29124394059181213,-0.3895314931869507
27,-0.40705227851867676,-0.20771971344947815
28,-0.29751262068748474,-0.12646278738975525
29,-0.22932203114032745,-0.24271708726882935
30,-0.2565382421016693,-0.2943701148033142
31,-0.3360217809677124,-0.15866342186927795
32,-0.47671595215797424,0.026054203510284424
33,-0.5638936161994934,0.08902627229690552
34,-0.7686548233032227,0.053919851779937744
35,-0.5890161395072937,0.05394619703292847
36,-0.24213679134845734,-0.08621412515640259
37,-0.3958950340747833,-0.1779145896434784
38,-0.2723841369152069,-0.1853308528661728
39,-0.11821355670690536,-0.2373497635126114
40,-0.36403021216392517,-0.2307424247264862
41,-0.0533222034573555,0.08061885833740234
42,-0.14449912309646606,-0.05196236073970795
43,-0.5215336680412292,-0.029291659593582153
44,-0.5237526297569275,0.16684556007385254
45,-0.4324510991573334,0.19399487972259521
46,-0.6608700752258301,-0.06335341930389404
47,-0.42748165130615234,-0.19674794375896454
48,-0.4957254230976105,-0.28909265995025635
49,0.054936494678258896,0.08268687129020691
50,-0.18822291493415833,-0.11178959906101227
51,-0.4564821422100067,-0.13517117500305176
52,-0.5937987565994263,-0.10134786367416382
